Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Fatality
Accident,1982-01-17,Non-Fatal,Destroyed,Airplane,Cessna,182P,1.0,Reciprocating,Unknown,0,0.0,1.0,0.0,VMC,0
Accident,1982-01-17,Non-Fatal,Destroyed,Airplane,Convair,440,2.0,Reciprocating,Unknown,0,0.0,2.0,1.0,VMC,0
Accident,1982-01-17,Total.Fatal.Injuries,Destroyed,Airplane,Piper,PA-31,2.0,Reciprocating,Unknown,1,0.0,0.0,0.0,VMC,1
Accident,1982-01-17,Non-Fatal,Destroyed,Airplane,Piper,PA-31T,2.0,Turbo Prop,Personal,0,0.0,3.0,0.0,VMC,0
Accident,1982-01-17,Total.Fatal.Injuries,Destroyed,Airplane,Beech,F50,2.0,Reciprocating,Unknown,2,0.0,0.0,0.0,VMC,2
Accident,1982-01-17,Non-Fatal,Destroyed,Airplane,Cessna,150,1.0,Reciprocating,Instructional,0,0.0,1.0,1.0,VMC,0
Accident,1982-01-17,Non-Fatal,Substantial,Airplane,Cessna,180E,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-17,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-18,Non-Fatal,Destroyed,Airplane,Beech,C23,1.0,Reciprocating,Business,0,2.0,2.0,0.0,VMC,0
Accident,1982-01-18,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-18,Total.Fatal.Injuries,Destroyed,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,3,0.0,0.0,0.0,IMC,3
Accident,1982-01-18,Non-Fatal,Substantial,Airplane,Cessna,180K,1.0,Reciprocating,Business,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-18,Total.Fatal.Injuries,Substantial,Airplane,Cessna,210L,1.0,Reciprocating,Personal,4,0.0,0.0,0.0,IMC,4
Accident,1982-01-19,Total.Fatal.Injuries,Destroyed,Airplane,Mooney,M20F,1.0,Reciprocating,Business,1,0.0,0.0,0.0,VMC,1
Accident,1982-01-19,Total.Fatal.Injuries,Destroyed,Airplane,Beech,G35,1.0,Reciprocating,Personal,2,0.0,0.0,0.0,IMC,2
Accident,1982-01-19,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,177B,1.0,Reciprocating,Business,1,2.0,0.0,0.0,UNK,1
Accident,1982-01-19,Total.Fatal.Injuries,Destroyed,Airplane,Grumman,AA5A,1.0,Reciprocating,Personal,3,0.0,0.0,0.0,IMC,3
Accident,1982-01-19,Total.Fatal.Injuries,Destroyed,Airplane,Swearingen,SA226-T(B),2.0,Turbo Prop,Executive/corporate,3,0.0,0.0,0.0,IMC,3
Incident,1982-01-19,Non-Fatal,Minor,Airplane,De Havilland,DHC-6-300,2.0,Turbo Prop,Ferry,0,0.0,0.0,1.0,IMC,0
Accident,1982-01-19,Non-Fatal,Substantial,Airplane,Piper,AEROSTAR 601P,2.0,Reciprocating,Executive/corporate,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-19,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-19,Non-Fatal,Substantial,Airplane,Cessna,182P,1.0,Reciprocating,Aerial Observation,0,0.0,1.0,1.0,VMC,0
Accident,1982-01-19,Non-Fatal,Substantial,Airplane,Cessna,177RG,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-19,Non-Fatal,Substantial,Airplane,Beachner,QUICK SILVER,1.0,Reciprocating,Personal,0,0.0,1.0,0.0,VMC,0
Accident,1982-01-19,Non-Fatal,Substantial,Airplane,Cessna,182E,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-19,Non-Fatal,Substantial,Airplane,Cessna,150H,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-19,Non-Fatal,Substantial,Airplane,Cessna,340A,2.0,Reciprocating,Business,0,0.0,0.0,2.0,UNK,0
Accident,1982-01-19,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Instructional,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-19,Non-Fatal,Substantial,Airplane,Canadair,CL-44D4,4.0,Turbo Prop,Unknown,0,0.0,0.0,6.0,VMC,0
Accident,1982-01-19,Non-Fatal,Substantial,Airplane,Piper,PA-32,1.0,Reciprocating,Unknown,0,0.0,0.0,2.0,VMC,0
Incident,1982-01-20,Non-Fatal,Minor,Airplane,Piper,PA-31-350,2.0,Reciprocating,Executive/corporate,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-20,Total.Fatal.Injuries,Destroyed,Airplane,Beech,58,2.0,Reciprocating,Personal,2,0.0,0.0,0.0,IMC,2
Accident,1982-01-20,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,182N,1.0,Reciprocating,Personal,3,0.0,0.0,0.0,IMC,3
Accident,1982-01-20,Total.Fatal.Injuries,Destroyed,Airplane,Piper,PA-23-250,2.0,Reciprocating,Business,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-20,Total.Fatal.Injuries,Substantial,Airplane,Cessna,210,1.0,Reciprocating,Personal,1,0.0,0.0,1.0,VMC,1
Accident,1982-01-20,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-21,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,P210N,1.0,Reciprocating,Personal,4,0.0,0.0,0.0,IMC,4
Accident,1982-01-21,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,402A,2.0,Reciprocating,Unknown,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-21,Non-Fatal,Destroyed,Airplane,Douglas,DC-3,2.0,Reciprocating,Unknown,0,0.0,2.0,0.0,VMC,0
Accident,1982-01-21,Non-Fatal,Destroyed,Airplane,Piper,PA-23-250,2.0,Reciprocating,Executive/corporate,0,1.0,2.0,0.0,IMC,0
Accident,1982-01-21,Total.Fatal.Injuries,Destroyed,Airplane,Piper,PA-28-235,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-21,Total.Fatal.Injuries,Destroyed,Airplane,Grumman,AA-1,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-21,Non-Fatal,Destroyed,Airplane,Piper,PA-32,1.0,Reciprocating,Personal,0,1.0,3.0,0.0,VMC,0
Accident,1982-01-21,Non-Fatal,Destroyed,Airplane,Cessna,207,1.0,Reciprocating,Unknown,0,0.0,1.0,0.0,VMC,0
Accident,1982-01-21,Non-Fatal,Substantial,Airplane,Mooney,M-20,1.0,Reciprocating,Personal,0,0.0,0.0,4.0,VMC,0
Accident,1982-01-21,Non-Fatal,Substantial,Airplane,Air Tractor,301,1.0,Reciprocating,Unknown,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-22,Total.Fatal.Injuries,Destroyed,Airplane,Sons Mustang,II,1.0,Reciprocating,Unknown,2,0.0,0.0,0.0,VMC,2
Incident,1982-01-22,Non-Fatal,Nill,Airplane,Dassault/sud,FALCON 20,2.0,Turbo Fan,Unknown,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-22,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-23,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,172,1.0,Reciprocating,Personal,1,1.0,0.0,0.0,IMC,1
Accident,1982-01-23,Total.Fatal.Injuries,Destroyed,Airplane,Mooney,M20C,1.0,Reciprocating,Personal,2,0.0,4.0,0.0,VMC,2
Accident,1982-01-23,Non-Fatal,Destroyed,Airplane,Grumman,G-164A,1.0,Reciprocating,Aerial Application,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-23,Total.Fatal.Injuries,Destroyed,Airplane,Mcdonnell Douglas,DC-10-30,3.0,Turbo Fan,Unknown,2,4.0,24.0,182.0,IMC,2
Accident,1982-01-23,Total.Fatal.Injuries,Destroyed,Airplane,Beech,A23A,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-23,Non-Fatal,Substantial,Airplane,Piper,PA-32-300,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-23,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Personal,0,0.0,0.0,3.0,VMC,0
Accident,1982-01-23,Non-Fatal,Substantial,Airplane,Piper,PA-34-200T,2.0,Reciprocating,Personal,0,0.0,0.0,3.0,VMC,0
Accident,1982-01-23,Total.Fatal.Injuries,Substantial,Airplane,Piper,PA-28-235,1.0,Reciprocating,Personal,2,0.0,4.0,0.0,VMC,2
Accident,1982-01-23,Non-Fatal,Substantial,Airplane,Cessna,150H,1.0,Reciprocating,Personal,0,1.0,0.0,0.0,VMC,0
Accident,1982-01-23,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Unknown,0,0.0,1.0,1.0,VMC,0
Accident,1982-01-24,Total.Fatal.Injuries,Destroyed,Airplane,Robertson,C-402B,2.0,Reciprocating,Personal,7,0.0,0.0,0.0,VMC,7
Accident,1982-01-24,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0,0.0,2.0,0.0,UNK,0
Accident,1982-01-24,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0,0.0,0.0,4.0,VMC,0
Accident,1982-01-24,Non-Fatal,Substantial,Airplane,Cessna,172RG,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-24,Non-Fatal,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Business,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-25,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,182M,1.0,Reciprocating,Personal,2,0.0,0.0,0.0,UNK,2
Accident,1982-01-25,Non-Fatal,Substantial,Airplane,Cessna,152II,1.0,Reciprocating,Instructional,0,0.0,1.0,0.0,VMC,0
Accident,1982-01-26,Non-Fatal,Destroyed,Airplane,Cessna,A188B,1.0,Reciprocating,Aerial Application,0,1.0,0.0,0.0,VMC,0
Accident,1982-01-26,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-26,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Instructional,0,0.0,0.0,3.0,VMC,0
Accident,1982-01-26,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-26,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,1.0,Reciprocating,Business,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-27,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-27,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-27,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Instructional,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-27,Non-Fatal,Substantial,Airplane,Aeronca,7BCM,1.0,Reciprocating,Instructional,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-27,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-28,Total.Fatal.Injuries,Destroyed,Airplane,Piper,28-151,1.0,Reciprocating,Unknown,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-28,Non-Fatal,Substantial,Airplane,Cessna,340A,2.0,Reciprocating,Instructional,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-28,Non-Fatal,Substantial,Airplane,Cessna,172H,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-28,Non-Fatal,Substantial,Airplane,Mooney,M20C,1.0,Reciprocating,Business,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-28,Non-Fatal,Substantial,Airplane,Cessna,A185F,1.0,Reciprocating,Business,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-28,Non-Fatal,Substantial,Airplane,Piper,PA-32-260,1.0,Reciprocating,Business,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-29,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,172N,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,IMC,1
Incident,1982-01-29,Non-Fatal,Nill,Airplane,Beech,B200,2.0,Turbo Prop,Executive/corporate,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-29,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,150,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,VMC,1
Accident,1982-01-29,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Unknown,0,0.0,0.0,2.0,VMC,0
Incident,1982-01-30,Non-Fatal,Minor,Airplane,Piper,PA-28R-201T,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-30,Non-Fatal,Destroyed,Airplane,Mooney,M20J,1.0,Reciprocating,Personal,0,0.0,0.0,4.0,VMC,0
Accident,1982-01-30,Total.Fatal.Injuries,Substantial,Airplane,Cessna,TR182,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,VMC,1
Accident,1982-01-30,Non-Fatal,Substantial,Airplane,Aeronca,7AC,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-30,Non-Fatal,Substantial,Airplane,Cessna,177B,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-30,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0,0.0,0.0,3.0,VMC,0
Accident,1982-01-30,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Instructional,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-30,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-30,Non-Fatal,Substantial,Airplane,Cessna,182L,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-30,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0,0.0,0.0,3.0,VMC,0
Accident,1982-01-30,Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,Reciprocating,Unknown,0,0.0,0.0,3.0,IMC,0
Accident,1982-01-31,Non-Fatal,Substantial,Airplane,Piper,PA-22,1.0,Reciprocating,Personal,0,0.0,1.0,1.0,VMC,0
Accident,1982-01-31,Non-Fatal,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Instructional,0,0.0,0.0,2.0,VMC,0
